species;accession;code;incubator;petridish;mgr;syn
Iberis carnosa;130921-12;130921-12b;Fellfield;5;0.003463803;0.08421053
Jasione cavanillesii;130921-14;130921-14;Fellfield;1;0.004573171;0
Jasione cavanillesii;130921-14;130921-14;Fellfield;2;0.004484305;0.14285714
Jasione cavanillesii;130921-14;130921-14;Fellfield;3;0.004293688;0.15555556
Jasione cavanillesii;130921-14;130921-14;Snowbed;1;0.003731343;0.3
Jasione cavanillesii;130921-14;130921-14;Snowbed;2;0.003652968;0.5
Jasione cavanillesii;130921-14;130921-14;Snowbed;3;0.003738318;0.06666667
Jasione cavanillesii;140921-05;140921-05;Fellfield;1;;
Jasione cavanillesii;140921-05;140921-05;Fellfield;2;;
Jasione cavanillesii;140921-05;140921-05;Fellfield;3;;
Jasione cavanillesii;140921-05;140921-05;Snowbed;1;;
Jasione cavanillesii;140921-05;140921-05;Snowbed;2;0.003289474;
Jasione cavanillesii;140921-05;140921-05;Snowbed;3;;
Jurinea humilis;110821-06;110821-06;Fellfield;1;0.040816327;0
Jurinea humilis;110821-06;110821-06;Fellfield;2;0.012195122;0.3333333
Jurinea humilis;110821-06;110821-06;Fellfield;3;0.022580645;0.4761905
Jurinea humilis;110821-06;110821-06;Fellfield;4;0.008510638;0.1666667
Jurinea humilis;110821-06;110821-06;Snowbed;1;0.004048583;1
Jurinea humilis;110821-06;110821-06;Snowbed;2;0.004048583;1
Jurinea humilis;110821-06;110821-06;Snowbed;3;0.004048583;1
Jurinea humilis;110821-06;110821-06b;Fellfield;5;0.003974563;0.1619048
Jurinea humilis;110821-06;110821-06b;Fellfield;6;0.004453103;0.2916667
Jurinea humilis;110821-06;110821-06b;Snowbed;5;0.003664495;0.1111111
Jurinea humilis;110821-06;110821-06b;Snowbed;6;0.003951149;0.5272727
Jurinea humilis;120821-03;120821-03;Fellfield;2;0.090909091;
Jurinea humilis;120821-03;120821-03;Fellfield;3;0.047337278;0.4642857
Jurinea humilis;120821-03;120821-03;Fellfield;4;0.014040562;0.25
Jurinea humilis;120821-03;120821-03;Snowbed;3;0.004048583;
Jurinea humilis;120821-03;120821-03b;Fellfield;5;0.004437542;0.7157895
Jurinea humilis;120821-03;120821-03b;Fellfield;6;0.004470522;0.325
Jurinea humilis;120821-03;120821-03b;Snowbed;5;0.003799873;0.2727273
Jurinea humilis;120821-03;120821-03b;Snowbed;6;0.003788676;0.2810458
Jurinea humilis;310821-01;310821-01;Fellfield;2;0.004329004;0
Jurinea humilis;310821-01;310821-01;Fellfield;4;0.010309278;0.5
Jurinea humilis;310821-01;310821-01;Snowbed;1;0.004048583;1
Jurinea humilis;310821-01;310821-01;Snowbed;2;0.004048583;1
Jurinea humilis;310821-01;310821-01;Snowbed;3;0.004048583;1
Jurinea humilis;310821-01;310821-01;Snowbed;4;0.004048583;1
Jurinea humilis;310821-01;310821-01b;Fellfield;5;0.004385965;0.4761905
Jurinea humilis;310821-01;310821-01b;Fellfield;6;0.004410143;0.5714286
Jurinea humilis;310821-01;310821-01b;Snowbed;5;0.003900156;0.4888889
Jurinea humilis;310821-01;310821-01b;Snowbed;6;0.003948667;0.3928571
Kobresia myosuroides;130921-03;130921-03;Fellfield;1;;
