community;species;family;population;recolection;incubator;abundance;total_seeds;viable_seeds;viablePER;total_seeds_germinated;final_germ;autumn_germ ;spring_germ;summer_germ;winter_germ;t50;Env_heat_sum;MGT;Syn
Mediterranean;Plantago holosteum;Plantaginaceae;240821-04;24/08/2021;Snowbed;0.36;150;147;97;145;97.87;85.105;12.765;0;7.445;10.65642234;57.125;0.04042;0.7795
Mediterranean;Plantago holosteum;Plantaginaceae;250821-12;25/08/2021;Fellfield;0.36;150;149;99;144;95.42;80.175;15.245;0;7.145;9.845293973;81.3125;0.0204;0.7155
Mediterranean;Plantago holosteum;Plantaginaceae;250821-12;25/08/2021;Snowbed;0.36;150;149;99;147;99;43.5;51.96;3.54;36.215;108.5636544;64.3125;0.014275;0.5405
Temperate;Ranunculus carianthiacus;Ranunculaceae;310821-16;31/08/2021;Fellfield;0.17;15;15;100;4;26.67;0;0;26.67;0;NA;NA;0.003759398;1
Temperate;Ranunculus carianthiacus;Ranunculaceae;310821-16;31/08/2021;Snowbed;0.17;15;15;100;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Salix fontqueri;Salicaceae;140921-01;14/09/2021;Fellfield;0.03;5;5;100;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Salix fontqueri;Salicaceae;140921-01;14/09/2021;Snowbed;0.03;5;5;100;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Saxifraga conifera;Saxifragaceae;130921-09;13/09/2021;Fellfield;0.81;98;61;62.24;59;96.72;85.25;1.64;9.84;0;17.05026709;158.375;0.0268;0.4046
Temperate;Saxifraga conifera;Saxifragaceae;130921-09;13/09/2021;Snowbed;0.81;100;58;58;41;70.69;5.17;0;65.52;0;327.9333333;1274.833333;0.00321;0.354
Temperate;Saxifraga conifera;Saxifragaceae;140921-08;14/09/2021;Fellfield;0.81;59;31;52.54;27;87.1;48.39;0;38.71;0;108.0248016;518.6666667;0.00885;0.37
Temperate;Saxifraga conifera;Saxifragaceae;140921-08;14/09/2021;Snowbed;0.81;60;39;65;27;69.23;7.69;0;61.54;0;327.5;1294.5;0.00371;0.283
Temperate;Saxifraga paniculata;Saxifragaceae;310821-14;31/08/2021;Fellfield;0.03;100;97;97;94;96.91;0;96.91;0;0;222.0175886;499.875;0.00444;0.432
Temperate;Saxifraga paniculata;Saxifragaceae;310821-14;31/08/2021;Snowbed;0.03;100;89;89;53;59.55;0;3.37;56.18;0;283.5198413;551.5;0.00358;0.302
Temperate;Scilla verna;Asparagaceae;310821-06;31/08/2021;Fellfield;0.04;100;96;96;10;10.42;0;0;10.42;0;NA;NA;0.00278;1
Temperate;Scilla verna;Asparagaceae;310821-06;31/08/2021;Snowbed;0.04;100;98;98;28;28.57;0;0;28.57;0;NA;NA;0.0028;0.507
Temperate;Sedum album cf;Crassulaceae;300821-14;30/08/2021;Fellfield;0.03;100;97;97;0;0;0;0;0;0;NA;NA;NA;NA
Temperate;Sedum album cf;Crassulaceae;300821-14;30/08/2021;Snowbed;0.03;100;94;94;0;0;0;0;0;0;NA;NA;NA;NA
Mediterranean;Sedum anglicum;Crassulaceae;240821-09;24/08/2021;Fellfield;0.08;150;128;80.5;101;71.95;39.41;17.32;15.215;13.235;162.6321181;1029;0.015625;0.278
